Approved symbol	Approved name	Locus type
RPS12P17	ribosomal protein S12 pseudogene 17	pseudogene
RPS12P18	ribosomal protein S12 pseudogene 18	pseudogene
RPS12P20	ribosomal protein S12 pseudogene 20	pseudogene
RPS12P21	ribosomal protein S12 pseudogene 21	pseudogene
RPS12P22	ribosomal protein S12 pseudogene 22	pseudogene
RPS12P23	ribosomal protein S12 pseudogene 23	pseudogene
RPS12P24	ribosomal protein S12 pseudogene 24	pseudogene
RPS12P25	ribosomal protein S12 pseudogene 25	pseudogene
RPS12P26	ribosomal protein S12 pseudogene 26	pseudogene
RPS12P27	ribosomal protein S12 pseudogene 27	pseudogene
RPS12P28	ribosomal protein S12 pseudogene 28	pseudogene
RPS12P29	ribosomal protein S12 pseudogene 29	pseudogene
RPS12P30	ribosomal protein S12 pseudogene 30	pseudogene
RPS12P31	ribosomal protein S12 pseudogene 31	pseudogene
RPS12P32	ribosomal protein S12 pseudogene 32	pseudogene
RPS13	ribosomal protein S13	gene with protein product
RPS13P1	ribosomal protein S13 pseudogene 1	pseudogene
RPS13P2	ribosomal protein S13 pseudogene 2	pseudogene
RPS13P3	ribosomal protein S13 pseudogene 3	pseudogene
RPS13P4	ribosomal protein S13 pseudogene 4	pseudogene
RPS13P5	ribosomal protein S13 pseudogene 5	pseudogene
RPS13P6	ribosomal protein S13 pseudogene 6	pseudogene
RPS13P7	ribosomal protein S13 pseudogene 7	pseudogene
RPS13P8	ribosomal protein S13 pseudogene 8	pseudogene
RPS14	ribosomal protein S14	gene with protein product
RPS14P1	ribosomal protein S14 pseudogene 1	pseudogene
RPS14P2	ribosomal protein S14 pseudogene 2	pseudogene
RPS14P3	ribosomal protein S14 pseudogene 3	pseudogene
RPS14P4	ribosomal protein S14 pseudogene 4	pseudogene
RPS14P5	ribosomal protein S14 pseudogene 5	pseudogene
RPS14P6	ribosomal protein S14 pseudogene 6	pseudogene
RPS14P7	ribosomal protein S14 pseudogene 7	pseudogene
RPS14P8	ribosomal protein S14 pseudogene 8	pseudogene
RPS14P9	ribosomal protein S14 pseudogene 9	pseudogene
RPS14P10	ribosomal protein S14 pseudogene 10	pseudogene
RPS15	ribosomal protein S15	gene with protein product
RPS15A	ribosomal protein S15a	gene with protein product
RPS15AP1	ribosomal protein S15a pseudogene 1	pseudogene
RPS15AP2	ribosomal protein S15a pseudogene 2	pseudogene
RPS15AP3	ribosomal protein S15a pseudogene 3	pseudogene
RPS15AP4	ribosomal protein S15a pseudogene 4	pseudogene
RPS15AP5	ribosomal protein S15a pseudogene 5	pseudogene
RPS15AP6	ribosomal protein S15a pseudogene 6	pseudogene
RPS15AP7	ribosomal protein S15a pseudogene 7	pseudogene
RPS15AP8	ribosomal protein S15a pseudogene 8	pseudogene
RPS15AP9	ribosomal protein S15a pseudogene 9	pseudogene
RPS15AP10	ribosomal protein S15a pseudogene 10	pseudogene
RPS15AP11	ribosomal protein S15a pseudogene 11	pseudogene
RPS15AP12	ribosomal protein S15a pseudogene 12	pseudogene
RPS15AP13	ribosomal protein S15a pseudogene 13	pseudogene
RPS15AP14	ribosomal protein S15a pseudogene 14	pseudogene
RPS15AP15	ribosomal protein S15a pseudogene 15	pseudogene
RPS15AP16	ribosomal protein S15a pseudogene 16	pseudogene
RPS15AP17	ribosomal protein S15a pseudogene 17	pseudogene
RPS15AP18	ribosomal protein S15a pseudogene 18	pseudogene
RPS15AP19	ribosomal protein S15a pseudogene 19	pseudogene
RPS15AP20	ribosomal protein S15a pseudogene 20	pseudogene
RPS15AP21	ribosomal protein S15a pseudogene 21	pseudogene
RPS15AP22	ribosomal protein S15a pseudogene 22	pseudogene
RPS15AP23	ribosomal protein S15a pseudogene 23	pseudogene
RPS15AP24	ribosomal protein S15a pseudogene 24	pseudogene
RPS15AP25	ribosomal protein S15a pseudogene 25	pseudogene
RPS15AP26	ribosomal protein S15a pseudogene 26	pseudogene
RPS15AP27	ribosomal protein S15a pseudogene 27	pseudogene
RPS15AP28	ribosomal protein S15a pseudogene 28	pseudogene
RPS15AP29	ribosomal protein S15a pseudogene 29	pseudogene
RPS15AP30	ribosomal protein S15a pseudogene 30	pseudogene
RPS15AP31	ribosomal protein S15a pseudogene 31	pseudogene
RPS15AP32	ribosomal protein S15a pseudogene 32	pseudogene
RPS15AP33	ribosomal protein S15a pseudogene 33	pseudogene
RPS15AP34	ribosomal protein S15a pseudogene 34	pseudogene
RPS15AP35	ribosomal protein S15a pseudogene 35	pseudogene
RPS15AP36	ribosomal protein S15a pseudogene 36	pseudogene
RPS15AP37	ribosomal protein S15a pseudogene 37	pseudogene
RPS15AP38	ribosomal protein S15a pseudogene 38	pseudogene
RPS15AP39	ribosomal protein S15a pseudogene 39	pseudogene
RPS15AP40	ribosomal protein S15a pseudogene 40	pseudogene
RPS15P1	ribosomal protein S15 pseudogene 1	pseudogene
RPS15P2	ribosomal protein S15 pseudogene 2	pseudogene
RPS15P3	ribosomal protein S15 pseudogene 3	pseudogene
RPS15P4	ribosomal protein S15 pseudogene 4	pseudogene
RPS15P5	ribosomal protein S15 pseudogene 5	pseudogene
RPS15P6	ribosomal protein S15 pseudogene 6	pseudogene
RPS15P7	ribosomal protein S15 pseudogene 7	pseudogene
RPS15P8	ribosomal protein S15 pseudogene 8	pseudogene
RPS15P9	ribosomal protein S15 pseudogene 9	pseudogene
RPS16	ribosomal protein S16	gene with protein product
RPS16P1	ribosomal protein S16 pseudogene 1	pseudogene
RPS16P2	ribosomal protein S16 pseudogene 2	pseudogene
RPS16P3	ribosomal protein S16 pseudogene 3	pseudogene
RPS16P4	ribosomal protein S16 pseudogene 4	pseudogene
RPS16P5	ribosomal protein S16 pseudogene 5	pseudogene
RPS16P6	ribosomal protein S16 pseudogene 6	pseudogene
RPS16P7	ribosomal protein S16 pseudogene 7	pseudogene
RPS16P8	ribosomal protein S16 pseudogene 8	pseudogene
RPS16P9	ribosomal protein S16 pseudogene 9	pseudogene
RPS16P10	ribosomal protein S16 pseudogene 10	pseudogene
RPS17	ribosomal protein S17	gene with protein product
RPS17L	symbol withdrawn, see [HGNC:10397](/data/gene-symbol-report/#!/hgnc_id/HGNC:10397)	gene with protein product
RPS17L3	ribosomal protein S17-like 3, G1-phase expressed	unknown
RPS17P1	ribosomal protein S17 pseudogene 1	pseudogene
RPS17P2	ribosomal protein S17 pseudogene 2	pseudogene
RPS17P3	ribosomal protein S17 pseudogene 3	pseudogene
RPS17P4	ribosomal protein S17 pseudogene 4	pseudogene
RPS17P5	ribosomal protein S17 pseudogene 5	pseudogene
RPS17P6	ribosomal protein S17 pseudogene 6	pseudogene
RPS17P7	ribosomal protein S17 pseudogene 7	pseudogene
RPS17P8	ribosomal protein S17 pseudogene 8	pseudogene
RPS17P9	ribosomal protein S17 pseudogene 9	pseudogene
RPS17P10	ribosomal protein S17 pseudogene 10	pseudogene
RPS17P11	ribosomal protein S17 pseudogene 11	pseudogene
RPS17P12	ribosomal protein S17 pseudogene 12	pseudogene
RPS17P13	ribosomal protein S17 pseudogene 13	pseudogene
RPS17P14	ribosomal protein S17 pseudogene 14	pseudogene
RPS17P15	ribosomal protein S17 pseudogene 15	pseudogene
RPS17P16	ribosomal protein S17 pseudogene 16	pseudogene
RPS17P17	ribosomal protein S17 pseudogene 17	pseudogene
RPS18	ribosomal protein S18	gene with protein product
RPS18P1	ribosomal protein S18 pseudogene 1	pseudogene
RPS18P2	ribosomal protein S18 pseudogene 2	pseudogene
RPS18P3	ribosomal protein S18 pseudogene 3	pseudogene
RPS18P4	ribosomal protein S18 pseudogene 4	pseudogene
RPS18P5	ribosomal protein S18 pseudogene 5	pseudogene
RPS18P6	ribosomal protein S18 pseudogene 6	pseudogene
RPS18P7	ribosomal protein S18 pseudogene 7	pseudogene
RPS18P8	ribosomal protein S18 pseudogene 8	pseudogene
RPS18P9	ribosomal protein S18 pseudogene 9	pseudogene
RPS18P10	ribosomal protein S18 pseudogene 10	pseudogene
RPS18P11	ribosomal protein S18 pseudogene 11	pseudogene
RPS18P12	ribosomal protein S18 pseudogene 12	pseudogene
RPS18P13	ribosomal protein S18 pseudogene 13	pseudogene
RPS18P14	ribosomal protein S18 pseudogene 14	pseudogene
RPS19	ribosomal protein S19	gene with protein product
RPS19BP1	ribosomal protein S19 binding protein 1	gene with protein product
RPS19P1	ribosomal protein S19 pseudogene 1	pseudogene
RPS19P2	ribosomal protein S19 pseudogene 2	pseudogene
RPS19P3	ribosomal protein S19 pseudogene 3	pseudogene
RPS19P4	ribosomal protein S19 pseudogene 4	pseudogene
RPS19P5	ribosomal protein S19 pseudogene 5	pseudogene
RPS19P6	ribosomal protein S19 pseudogene 6	pseudogene
RPS19P7	ribosomal protein S19 pseudogene 7	pseudogene
RPS20	ribosomal protein S20	gene with protein product
RPS20P1	ribosomal protein S20 pseudogene 1	pseudogene
RPS20P2	ribosomal protein S20 pseudogene 2	pseudogene
RPS20P3	ribosomal protein S20 pseudogene 3	pseudogene
RPS20P4	ribosomal protein S20 pseudogene 4	pseudogene
RPS20P5	ribosomal protein S20 pseudogene 5	pseudogene
RPS20P6	ribosomal protein S20 pseudogene 6	pseudogene
RPS20P7	ribosomal protein S20 pseudogene 7	pseudogene
RPS20P8	ribosomal protein S20 pseudogene 8	pseudogene
RPS20P9	ribosomal protein S20 pseudogene 9	pseudogene
RPS20P10	ribosomal protein S20 pseudogene 10	pseudogene
RPS20P11	ribosomal protein S20 pseudogene 11	pseudogene
RPS20P12	ribosomal protein S20 pseudogene 12	pseudogene
RPS20P13	ribosomal protein S20 pseudogene 13	pseudogene
RPS20P14	ribosomal protein S20 pseudogene 14	pseudogene
RPS20P15	ribosomal protein S20 pseudogene 15	pseudogene
RPS20P16	ribosomal protein S20 pseudogene 16	pseudogene
RPS20P17	ribosomal protein S20 pseudogene 17	pseudogene
RPS20P18	ribosomal protein S20 pseudogene 18	pseudogene
RPS20P19	ribosomal protein S20 pseudogene 19	pseudogene
RPS20P20	ribosomal protein S20 pseudogene 20	pseudogene
RPS20P21	ribosomal protein S20 pseudogene 21	pseudogene
RPS20P22	ribosomal protein S20 pseudogene 22	pseudogene
RPS20P23	ribosomal protein S20 pseudogene 23	pseudogene
RPS20P24	ribosomal protein S20 pseudogene 24	pseudogene
RPS20P25	ribosomal protein S20 pseudogene 25	pseudogene
RPS20P26	ribosomal protein S20 pseudogene 26	pseudogene
RPS20P27	ribosomal protein S20 pseudogene 27	pseudogene
RPS20P28	ribosomal protein S20 pseudogene 28	pseudogene
RPS20P29	ribosomal protein S20 pseudogene 29	pseudogene
RPS20P30	ribosomal protein S20 pseudogene 30	pseudogene
RPS20P31	ribosomal protein S20 pseudogene 31	pseudogene
RPS20P32	ribosomal protein S20 pseudogene 32	pseudogene
RPS20P33	ribosomal protein S20 pseudogene 33	pseudogene
RPS20P34	ribosomal protein S20 pseudogene 34	pseudogene
RPS20P35	ribosomal protein S20 pseudogene 35	pseudogene
RPS21	ribosomal protein S21	gene with protein product
RPS21P1	ribosomal protein S21 pseudogene 1	pseudogene
RPS21P2	ribosomal protein S21 pseudogene 2	pseudogene
RPS21P3	ribosomal protein S21 pseudogene 3	pseudogene
RPS21P4	ribosomal protein S21 pseudogene 4	pseudogene
RPS21P5	ribosomal protein S21 pseudogene 5	pseudogene
RPS21P6	ribosomal protein S21 pseudogene 6	pseudogene
RPS21P7	ribosomal protein S21 pseudogene 7	pseudogene
RPS21P8	ribosomal protein S21 pseudogene 8	pseudogene
RPS23	ribosomal protein S23	gene with protein product
RPS23P1	ribosomal protein S23 pseudogene 1	pseudogene
RPS23P2	ribosomal protein S23 pseudogene 2	pseudogene
RPS23P3	ribosomal protein S23 pseudogene 3	pseudogene
RPS23P4	ribosomal protein S23 pseudogene 4	pseudogene
RPS23P5	ribosomal protein S23 pseudogene 5	pseudogene
RPS23P6	ribosomal protein S23 pseudogene 6	pseudogene
RPS23P7	ribosomal protein S23 pseudogene 7	pseudogene
RPS23P8	ribosomal protein S23 pseudogene 8	pseudogene
RPS23P9	ribosomal protein S23 pseudogene 9	pseudogene
RPS23P10	ribosomal protein S23 pseudogene 10	pseudogene
RPS24	ribosomal protein S24	gene with protein product
RPS24P1	ribosomal protein S24 pseudogene 1	pseudogene
RPS24P2	ribosomal protein S24 pseudogene 2	pseudogene
RPS24P3	ribosomal protein S24 pseudogene 3	pseudogene
RPS24P4	ribosomal protein S24 pseudogene 4	pseudogene
RPS24P5	ribosomal protein S24 pseudogene 5	pseudogene
RPS24P6	ribosomal protein S24 pseudogene 6	pseudogene
RPS24P7	ribosomal protein S24 pseudogene 7	pseudogene
RPS24P8	ribosomal protein S24 pseudogene 8	pseudogene
RPS24P9	ribosomal protein S24 pseudogene 9	pseudogene
RPS24P10	ribosomal protein S24 pseudogene 10	pseudogene
RPS24P11	ribosomal protein S24 pseudogene 11	pseudogene
RPS24P12	ribosomal protein S24 pseudogene 12	pseudogene
RPS24P13	ribosomal protein S24 pseudogene 13	pseudogene
RPS24P14	ribosomal protein S24 pseudogene 14	pseudogene
RPS24P15	ribosomal protein S24 pseudogene 15	pseudogene
RPS24P16	ribosomal protein S24 pseudogene 16	pseudogene
RPS24P17	ribosomal protein S24 pseudogene 17	pseudogene
RPS24P18	ribosomal protein S24 pseudogene 18	pseudogene
RPS24P19	ribosomal protein S24 pseudogene 19	pseudogene
RPS25	ribosomal protein S25	gene with protein product
RPS25P1	ribosomal protein S25 pseudogene 1	pseudogene
RPS25P2	ribosomal protein S25 pseudogene 2	pseudogene
RPS25P3	ribosomal protein S25 pseudogene 3	pseudogene
RPS25P4	ribosomal protein S25 pseudogene 4	pseudogene
RPS25P5	ribosomal protein S25 pseudogene 5	pseudogene
RPS25P6	ribosomal protein S25 pseudogene 6	pseudogene
RPS25P7	ribosomal protein S25 pseudogene 7	pseudogene
RPS25P8	ribosomal protein S25 pseudogene 8	pseudogene
RPS25P9	ribosomal protein S25 pseudogene 9	pseudogene
RPS25P10	ribosomal protein S25 pseudogene 10	pseudogene
RPS26	ribosomal protein S26	gene with protein product
RPS26P1	ribosomal protein S26 pseudogene 1	pseudogene
RPS26P2	ribosomal protein S26 pseudogene 2	pseudogene
RPS26P3	ribosomal protein S26 pseudogene 3	pseudogene
RPS26P4	ribosomal protein S26 pseudogene 4	pseudogene
RPS26P5	ribosomal protein S26 pseudogene 5	pseudogene
RPS26P6	ribosomal protein S26 pseudogene 6	pseudogene
RPS26P7	ribosomal protein S26 pseudogene 7	pseudogene
RPS26P8	ribosomal protein S26 pseudogene 8	pseudogene
RPS26P9	ribosomal protein S26 pseudogene 9	pseudogene
RPS26P10	ribosomal protein S26 pseudogene 10	pseudogene
RPS26P11	ribosomal protein S26 pseudogene 11	pseudogene
RPS26P12	ribosomal protein S26 pseudogene 12	pseudogene
RPS26P13	ribosomal protein S26 pseudogene 13	pseudogene
RPS26P14	ribosomal protein S26 pseudogene 14	pseudogene
RPS26P15	ribosomal protein S26 pseudogene 15	pseudogene
RPS26P16	ribosomal protein S26 pseudogene 16	pseudogene
RPS26P17	ribosomal protein S26 pseudogene 17	pseudogene
RPS26P18	ribosomal protein S26 pseudogene 18	pseudogene
RPS26P19	ribosomal protein S26 pseudogene 19	pseudogene
RPS26P20	ribosomal protein S26 pseudogene 20	pseudogene
RPS26P21	ribosomal protein S26 pseudogene 21	pseudogene
RPS26P22	ribosomal protein S26 pseudogene 22	pseudogene
RPS26P23	ribosomal protein S26 pseudogene 23	pseudogene
RPS26P24	ribosomal protein S26 pseudogene 24	pseudogene
RPS26P25	ribosomal protein S26 pseudogene 25	pseudogene
RPS26P26	ribosomal protein S26 pseudogene 26	pseudogene
RPS26P27	ribosomal protein S26 pseudogene 27	pseudogene
RPS26P28	ribosomal protein S26 pseudogene 28	pseudogene
RPS26P29	ribosomal protein S26 pseudogene 29	pseudogene
RPS26P30	ribosomal protein S26 pseudogene 30	pseudogene
RPS26P31	ribosomal protein S26 pseudogene 31	pseudogene
RPS26P32	ribosomal protein S26 pseudogene 32	pseudogene
RPS26P33	ribosomal protein S26 pseudogene 33	pseudogene
RPS26P34	ribosomal protein S26 pseudogene 34	pseudogene
RPS26P35	ribosomal protein S26 pseudogene 35	pseudogene
RPS26P36	ribosomal protein S26 pseudogene 36	pseudogene
RPS26P37	ribosomal protein S26 pseudogene 37	pseudogene
RPS26P38	ribosomal protein S26 pseudogene 38	pseudogene
RPS26P39	ribosomal protein S26 pseudogene 39	pseudogene
RPS26P40	ribosomal protein S26 pseudogene 40	pseudogene
RPS26P41	ribosomal protein S26 pseudogene 41	pseudogene
RPS26P42	ribosomal protein S26 pseudogene 42	pseudogene
RPS26P43	ribosomal protein S26 pseudogene 43	pseudogene
RPS26P44	ribosomal protein S26 pseudogene 44	pseudogene
RPS26P45	ribosomal protein S26 pseudogene 45	pseudogene
RPS26P46	ribosomal protein S26 pseudogene 46	pseudogene
RPS26P47	ribosomal protein S26 pseudogene 47	pseudogene
RPS26P48	ribosomal protein S26 pseudogene 48	pseudogene
RPS26P49	ribosomal protein S26 pseudogene 49	pseudogene
RPS26P50	ribosomal protein S26 pseudogene 50	pseudogene
RPS26P51	ribosomal protein S26 pseudogene 51	pseudogene
RPS26P52	ribosomal protein S26 pseudogene 52	pseudogene
RPS26P53	ribosomal protein S26 pseudogene 53	pseudogene
RPS26P54	ribosomal protein S26 pseudogene 54	pseudogene
RPS26P55	ribosomal protein S26 pseudogene 55	pseudogene
RPS26P56	ribosomal protein S26 pseudogene 56	pseudogene
RPS26P57	ribosomal protein S26 pseudogene 57	pseudogene
RPS26P58	ribosomal protein S26 pseudogene 58	pseudogene
RPS27	ribosomal protein S27	gene with protein product
RPS27A	ribosomal protein S27a	gene with protein product
RPS27AP1	ribosomal protein S27a pseudogene 1	pseudogene
RPS27AP2	ribosomal protein S27a pseudogene 2	pseudogene
RPS27AP3	ribosomal protein S27a pseudogene 3	pseudogene
RPS27AP4	ribosomal protein S27a pseudogene 4	pseudogene
RPS27AP5	ribosomal protein S27a pseudogene 5	unknown
RPS27AP6	ribosomal protein S27a pseudogene 6	pseudogene
RPS27AP7	ribosomal protein S27a pseudogene 7	pseudogene
RPS27AP8	ribosomal protein S27a pseudogene 8	pseudogene
RPS27AP9	ribosomal protein S27a pseudogene 9	pseudogene
RPS27AP10	ribosomal protein S27a pseudogene 10	pseudogene
RPS27AP11	ribosomal protein S27a pseudogene 11	pseudogene
RPS27AP12	ribosomal protein S27a pseudogene 12	pseudogene
RPS27AP13	ribosomal protein S27a pseudogene 13	pseudogene
RPS27AP14	ribosomal protein S27a pseudogene 14	pseudogene
RPS27AP15	ribosomal protein S27a pseudogene 15	pseudogene
RPS27AP16	ribosomal protein S27a pseudogene 16	pseudogene
RPS27AP17	ribosomal protein S27a pseudogene 17	pseudogene
RPS27AP18	ribosomal protein S27a pseudogene 18	pseudogene
RPS27AP19	ribosomal protein S27a pseudogene 19	pseudogene
RPS27L	ribosomal protein S27 like	gene with protein product
RPS27P1	ribosomal protein S27 pseudogene 1	pseudogene
RPS27P2	ribosomal protein S27 pseudogene 2	pseudogene
RPS27P3	ribosomal protein S27 pseudogene 3	pseudogene
RPS27P4	ribosomal protein S27 pseudogene 4	pseudogene
RPS27P5	ribosomal protein S27 pseudogene 5	pseudogene
RPS27P6	ribosomal protein S27 pseudogene 6	pseudogene
RPS27P7	ribosomal protein S27 pseudogene 7	pseudogene
RPS27P8	ribosomal protein S27 pseudogene 8	pseudogene
RPS27P9	ribosomal protein S27 pseudogene 9	pseudogene
RPS27P10	ribosomal protein S27 pseudogene 10	pseudogene
RPS27P11	ribosomal protein S27 pseudogene 11	pseudogene
RPS27P12	ribosomal protein S27 pseudogene 12	pseudogene
RPS27P13	ribosomal protein S27 pseudogene 13	pseudogene
RPS27P14	ribosomal protein S27 pseudogene 14	pseudogene
RPS27P15	ribosomal protein S27 pseudogene 15	pseudogene
RPS27P16	ribosomal protein S27 pseudogene 16	pseudogene
RPS27P17	ribosomal protein S27 pseudogene 17	pseudogene
RPS27P18	ribosomal protein S27 pseudogene 18	pseudogene
RPS27P19	ribosomal protein S27 pseudogene 19	pseudogene
RPS27P20	ribosomal protein S27 pseudogene 20	pseudogene
RPS27P21	ribosomal protein S27 pseudogene 21	pseudogene
RPS27P22	ribosomal protein S27 pseudogene 22	pseudogene
RPS27P23	ribosomal protein S27 pseudogene 23	pseudogene
RPS27P24	ribosomal protein S27 pseudogene 24	pseudogene
RPS27P25	ribosomal protein S27 pseudogene 25	pseudogene
RPS27P26	ribosomal protein S27 pseudogene 26	pseudogene
RPS27P27	ribosomal protein S27 pseudogene 27	pseudogene
RPS27P28	ribosomal protein S27 pseudogene 28	pseudogene
RPS27P29	ribosomal protein S27 pseudogene 29	pseudogene
RPS28	ribosomal protein S28	gene with protein product
RPS28P1	ribosomal protein S28 pseudogene 1	pseudogene
RPS28P2	ribosomal protein S28 pseudogene 2	pseudogene
RPS28P3	ribosomal protein S28 pseudogene 3	pseudogene
RPS28P4	ribosomal protein S28 pseudogene 4	pseudogene
RPS28P5	ribosomal protein S28 pseudogene 5	pseudogene
RPS28P6	ribosomal protein S28 pseudogene 6	pseudogene
RPS28P7	ribosomal protein S28 pseudogene 7	pseudogene
RPS28P8	ribosomal protein S28 pseudogene 8	pseudogene
RPS28P9	ribosomal protein S28 pseudogene 9	pseudogene
RPS29	ribosomal protein S29	gene with protein product
RPS29P1	ribosomal protein S29 pseudogene 1	pseudogene
RPS29P2	ribosomal protein S29 pseudogene 2	pseudogene
RPS29P3	ribosomal protein S29 pseudogene 3	pseudogene
RPS29P4	ribosomal protein S29 pseudogene 4	pseudogene
RPS29P5	ribosomal protein S29 pseudogene 5	pseudogene
RPS29P6	ribosomal protein S29 pseudogene 6	pseudogene
RPS29P7	ribosomal protein S29 pseudogene 7	pseudogene
RPS29P8	ribosomal protein S29 pseudogene 8	pseudogene
RPS29P9	ribosomal protein S29 pseudogene 9	pseudogene
RPS29P10	ribosomal protein S29 pseudogene 10	pseudogene
RPS29P11	ribosomal protein S29 pseudogene 11	pseudogene
RPS29P12	ribosomal protein S29 pseudogene 12	pseudogene
RPS29P13	ribosomal protein S29 pseudogene 13	pseudogene
RPS29P14	ribosomal protein S29 pseudogene 14	pseudogene
RPS29P15	ribosomal protein S29 pseudogene 15	pseudogene
RPS29P16	ribosomal protein S29 pseudogene 16	pseudogene
RPS29P17	ribosomal protein S29 pseudogene 17	pseudogene
RPS29P18	ribosomal protein S29 pseudogene 18	pseudogene
RPS29P19	ribosomal protein S29 pseudogene 19	pseudogene
RPS29P20	ribosomal protein S29 pseudogene 20	pseudogene
RPS29P21	ribosomal protein S29 pseudogene 21	pseudogene
RPS29P22	ribosomal protein S29 pseudogene 22	pseudogene
RPS29P23	ribosomal protein S29 pseudogene 23	pseudogene
RPS29P24	ribosomal protein S29 pseudogene 24	pseudogene
RPS29P25	ribosomal protein S29 pseudogene 25	pseudogene
RPS29P26	ribosomal protein S29 pseudogene 26	pseudogene
RPS29P27	ribosomal protein S29 pseudogene 27	pseudogene
RPS29P28	ribosomal protein S29 pseudogene 28	pseudogene
RPS29P29	ribosomal protein S29 pseudogene 29	pseudogene
RPS29P30	ribosomal protein S29 pseudogene 30	pseudogene
RPS29P31	ribosomal protein S29 pseudogene 31	pseudogene
RPS29P32	ribosomal protein S29 pseudogene 32	pseudogene
RPS29P33	ribosomal protein S29 pseudogene 33	pseudogene
RPSA	ribosomal protein SA	gene with protein product
RPSAP1	ribosomal protein SA pseudogene 1	pseudogene
RPSAP2	ribosomal protein SA pseudogene 2	pseudogene
RPSAP3	ribosomal protein SA pseudogene 3	pseudogene
RPSAP4	ribosomal protein SA pseudogene 4	pseudogene
RPSAP5	ribosomal protein SA pseudogene 5	pseudogene
RPSAP6	ribosomal protein SA pseudogene 6	pseudogene
RPSAP7	ribosomal protein SA pseudogene 7	pseudogene
RPSAP8	ribosomal protein SA pseudogene 8	pseudogene
RPSAP9	ribosomal protein SA pseudogene 9	pseudogene
RPSAP10	ribosomal protein SA pseudogene 10	pseudogene
RPSAP11	ribosomal protein SA pseudogene 11	pseudogene
RPSAP12	ribosomal protein SA pseudogene 12	pseudogene
RPSAP13	ribosomal protein SA pseudogene 13	pseudogene
RPSAP14	ribosomal protein SA pseudogene 14	pseudogene
RPSAP15	ribosomal protein SA pseudogene 15	pseudogene
RPSAP16	ribosomal protein SA pseudogene 16	pseudogene
RPSAP17	ribosomal protein SA pseudogene 17	pseudogene
RPSAP18	ribosomal protein SA pseudogene 18	pseudogene
RPSAP19	ribosomal protein SA pseudogene 19	pseudogene
RPSAP20	ribosomal protein SA pseudogene 20	pseudogene
RPSAP21	ribosomal protein SA pseudogene 21	pseudogene
RPSAP22	ribosomal protein SA pseudogene 22	pseudogene
RPSAP23	ribosomal protein SA pseudogene 23	pseudogene
RPSAP24	ribosomal protein SA pseudogene 24	pseudogene
RPSAP25	ribosomal protein SA pseudogene 25	pseudogene
RPSAP26	ribosomal protein SA pseudogene 26	pseudogene
RPSAP27	ribosomal protein SA pseudogene 27	pseudogene
RPSAP28	ribosomal protein SA pseudogene 28	pseudogene
RPSAP29	ribosomal protein SA pseudogene 29	pseudogene
RPSAP30	ribosomal protein SA pseudogene 30	pseudogene
RPSAP31	ribosomal protein SA pseudogene 31	pseudogene
RPSAP32	ribosomal protein SA pseudogene 32	pseudogene
RPSAP33	ribosomal protein SA pseudogene 33	pseudogene
RPSAP34	ribosomal protein SA pseudogene 34	pseudogene
RPSAP35	ribosomal protein SA pseudogene 35	pseudogene
RPSAP36	ribosomal protein SA pseudogene 36	pseudogene
RPSAP37	ribosomal protein SA pseudogene 37	pseudogene
RPSAP38	ribosomal protein SA pseudogene 38	pseudogene
RPSAP39	ribosomal protein SA pseudogene 39	pseudogene
RPSAP40	ribosomal protein SA pseudogene 40	pseudogene
RPSAP41	ribosomal protein SA pseudogene 41	pseudogene
RPSAP42	ribosomal protein SA pseudogene 42	pseudogene
RPSAP43	ribosomal protein SA pseudogene 43	pseudogene
RPSAP44	ribosomal protein SA pseudogene 44	pseudogene
RPSAP45	ribosomal protein SA pseudogene 45	pseudogene
RPSAP46	ribosomal protein SA pseudogene 46	pseudogene
RPSAP47	ribosomal protein SA pseudogene 47	pseudogene
RPSAP48	ribosomal protein SA pseudogene 48	pseudogene
RPSAP49	ribosomal protein SA pseudogene 49	pseudogene
RPSAP50	ribosomal protein SA pseudogene 50	pseudogene
RPSAP51	ribosomal protein SA pseudogene 51	pseudogene
RPSAP52	ribosomal protein SA pseudogene 52	pseudogene
RPSAP53	ribosomal protein SA pseudogene 53	pseudogene
RPSAP54	ribosomal protein SA pseudogene 54	pseudogene
RPSAP55	ribosomal protein SA pseudogene 55	pseudogene
RPSAP56	ribosomal protein SA pseudogene 56	pseudogene
RPSAP57	ribosomal protein SA pseudogene 57	pseudogene
RPSAP58	ribosomal protein SA pseudogene 58	unknown
RPSAP59	ribosomal protein SA pseudogene 59	pseudogene
RPSAP60	ribosomal protein SA pseudogene 60	pseudogene
RPSAP61	ribosomal protein SA pseudogene 61	pseudogene
RPSAP62	ribosomal protein SA pseudogene 62	pseudogene
RPSAP63	ribosomal protein SA pseudogene 63	pseudogene
RPSAP64	ribosomal protein SA pseudogene 64	pseudogene
RPSAP65	ribosomal protein SA pseudogene 65	pseudogene
RPSAP66	ribosomal protein SA pseudogene 66	pseudogene
RPSAP67	ribosomal protein SA pseudogene 67	pseudogene
RPSAP68	ribosomal protein SA pseudogene 68	pseudogene
RPSAP69	ribosomal protein SA pseudogene 69	pseudogene
RPSAP70	ribosomal protein SA pseudogene 70	pseudogene
RPSAP71	ribosomal protein SA pseudogene 71	pseudogene
RPSAP72	ribosomal protein SA pseudogene 72	pseudogene
RPSAP73	ribosomal protein SA pseudogene 73	pseudogene
